language,region,quoteType,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,lastCloseTevEbitLtm,lastClosePriceToNNWCPerShare,hasPrePostMarketData,firstTradeDateMilliseconds,priceHint,preMarketChange,preMarketChangePercent,preMarketTime,preMarketPrice,regularMarketChange,regularMarketTime,regularMarketPrice,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,bid,ask,bidSize,askSize,market,messageBoardId,fullExchangeName,longName,financialCurrency,regularMarketOpen,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,regularMarketChangePercent,currency,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekChangePercent,dividendDate,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,earningsCallTimestampStart,earningsCallTimestampEnd,isEarningsDateEstimate,trailingAnnualDividendRate,trailingPE,dividendRate,trailingAnnualDividendYield,dividendYield,marketState,exchange,epsTrailingTwelveMonths,epsForward,epsCurrentYear,priceEpsCurrentYear,sharesOutstanding,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,forwardPE,priceToBook,sourceInterval,exchangeDataDelayedBy,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,cryptoTradeable,fiftyTwoWeekHigh,fiftyTwoWeekLow,averageAnalystRating,shortName,displayName,symbol,prevName,nameChangeDate,ipoExpectedDate
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,29.054102,-18.018960078564998,True,345479400000,2,1.7900085,0.7722877,1729162882.0,233.57,-2.0700073,1729108801,231.78,232.12,229.85 - 232.12,229.85,32657566,233.85,231.15,231.27,1,1,us_market,finmb_24937,NasdaqGS,Apple Inc.,USD,231.62,52029476,37365450,67.7,0.4126036,-0.8851859,USD,164.08 - 237.49,-5.7100067,-0.024043145,33.27824,1723680000.0,1730404800.0,1730404800.0,1730404800.0,1730408400.0,1730408400.0,False,0.97,35.332317,1.0,0.004147958,0.43,PRE,NMS,6.56,7.48,6.67,34.749626,15204100096,4.382,224.1582,7.6217957,0.03400186,199.1467,32.6333,0.16386564,3524006248448,30.986631,52.893658,15,0,America/New_York,EDT,-14400000,False,False,False,237.49,164.08,2.1 - Buy,Apple Inc.,Apple,AAPL,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,53.763938,148.99259916088147,True,917015400000,2,4.1399994,3.0503974,1729162892.0,139.86,4.119995,1729108801,135.72,136.62,131.58 - 136.62,131.58,262312402,131.6,136.38,136.45,1,1,us_market,finmb_32307,NasdaqGS,NVIDIA Corporation,USD,133.955,326691915,264233160,96.490005,2.4595973,3.1306953,USD,39.23 - 140.76,-5.0399933,-0.03580558,212.58167,1727913600.0,1724876403.0,1732051200.0,1732569600.0,1724878800.0,1724878800.0,True,0.022,63.718307,0.04,0.00016717325,0.03,PRE,NMS,2.13,4.05,2.84,47.788734,24529999872,2.368,119.5402,16.179802,0.1353503,99.08184,36.63816,0.36977676,3329211498496,33.51111,57.31419,15,0,America/New_York,EDT,-14400000,False,False,False,140.76,39.23,1.8 - Buy,NVIDIA Corporation,NVIDIA,NVDA,Usual,2024-10-16,
en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,,,False,1366983000000,2,,,,,0.0,1729022400,2735.94,1e-06,1.0E-6 - 1.0E-6,1e-06,67,0.0,0.0,0.0,0,0,us_market,finmb_49187628,OTC Markets EXMKT,"Texas Gulf Energy, Incorporated",USD,1e-06,56018552,50273280,2735.94,2735939840.0,0.0,USD,1.0E-6 - 2766.63,-30.689941,-0.0110928975,57.467796,,,,,,,,0.0,,,,,PRE,OEM,0.0,,,,56530100,-0.004,2558.102,177.83789,0.06951947,2182.0618,553.8782,0.2538325,3247916449792,,-683984.94,15,0,America/New_York,EDT,-14400000,False,False,False,2766.63,1e-06,,TEXAS GULF ENERGY INC,,TXGE,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,28.995611,-25.81161769267277,True,511108200000,2,2.6799927,0.6440432,1729162891.0,418.8,-2.619995,1729108801,416.12,416.36,410.48 - 416.36,410.48,15062246,418.74,415.52,416.04,2,2,us_market,finmb_21835,NasdaqGS,Microsoft Corporation,USD,415.02,19963739,16809320,91.72998,0.28277683,-0.6256854,USD,324.39 - 468.35,-52.23001,-0.11151919,26.385366,1733961600.0,1730318400.0,1730318400.0,1730318400.0,1730323800.0,1730323800.0,False,3.0,35.474854,3.32,0.0071643502,0.79,PRE,NMS,11.73,15.22,13.07,31.837797,7433039872,36.115,418.4352,-2.315216,-0.0055330335,418.0813,-1.9613037,-0.0046912017,3093036531712,27.340342,11.522081,15,0,America/New_York,EDT,-14400000,False,False,False,468.35,324.39,1.7 - Buy,Microsoft Corporation,Microsoft,MSFT,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,19.455145,86.93981666431135,True,1092922200000,2,0.33000183,0.197914,1729162881.0,167.07,-0.1599884,1729108801,166.74,167.28,165.216 - 167.28,165.216,9930787,166.9,166.3,166.51,2,2,us_market,finmb_29096,NasdaqGS,Alphabet Inc.,USD,166.02,17897096,12923920,45.280006,0.3727977,-0.09585884,USD,121.46 - 193.31,-26.569992,-0.13744758,20.089222,1726444800.0,1730232000.0,1730232000.0,1730232000.0,1730233800.0,1730233800.0,False,0.2,23.922527,0.8,0.0011983224,0.48,PRE,NMS,6.97,8.69,7.66,21.767626,5584999936,24.408,162.958,3.782013,0.023208514,161.59955,5.140457,0.031809848,2041948012544,19.187574,6.8313665,15,0,America/New_York,EDT,-14400000,False,False,False,193.31,121.46,1.7 - Buy,Alphabet Inc.,Alphabet,GOOG,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,19.455145,86.46471025183436,True,1092922200000,2,0.2899933,0.17558324,1729162879.0,165.45,-0.30000305,1729108801,165.16,165.8,163.74 - 165.8,163.74,15566550,165.46,164.77,164.98,2,2,us_market,finmb_29096,NasdaqGS,Alphabet Inc.,USD,164.555,25625919,19733140,44.950005,0.373929,-0.18131453,USD,120.21 - 191.75,-26.589996,-0.13867013,20.11615,1726444800.0,1730232000.0,1730232000.0,1730232000.0,1730233800.0,1730233800.0,False,0.2,23.76403,0.8,0.0012087513,0.48,PRE,NMS,6.95,8.7,7.65,21.589542,5858999808,24.408,161.5288,3.6312103,0.022480266,160.16016,4.9998474,0.031217799,2041939230720,18.98391,6.766634,15,0,America/New_York,EDT,-14400000,False,False,False,191.75,120.21,1.9 - Buy,Alphabet Inc.,,GOOGL,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,37.548586,-11.090341782050723,True,863703000000,2,1.0800018,0.57788104,1729162891.0,187.97,-0.80000305,1729108801,186.89,187.78,185.61 - 187.78,185.61,22061788,187.69,186.67,186.9,4,1,us_market,finmb_18749,NasdaqGS,"Amazon.com, Inc.",USD,187.05,39391261,29800830,68.54,0.5791297,-0.42623636,USD,118.35 - 201.2,-14.309998,-0.07112325,46.176018,,1722542460.0,1729767540.0,1730116800.0,1722547800.0,1722547800.0,True,0.0,44.603817,,0.0,,PRE,NMS,4.19,5.81,4.73,39.511627,10495599616,22.54,180.2942,6.5957947,0.03658351,178.1135,8.7765045,0.049274787,1961522626560,32.166954,8.291481,15,0,America/New_York,EDT,-14400000,False,False,False,201.2,118.35,1.8 - Buy,"Amazon.com, Inc.",Amazon.com,AMZN,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,23.700295,-315.5542130532329,True,1337347800000,2,5.01001,0.8686021,1729162884.0,581.8,-9.4800415,1729108801,576.79,582.08,574.03 - 582.08,574.03,11228288,586.27,577.37,577.9,39,1,us_market,finmb_20765463,NasdaqGS,"Meta Platforms, Inc.",USD,581.45,13236698,9581190,297.38998,1.0643879,-1.6170094,USD,279.4 - 602.95,-26.160034,-0.04338674,87.42048,1727308800.0,1730318400.0,1730318400.0,1730318400.0,1730322000.0,1730322000.0,False,1.0,29.503325,2.0,0.0017056987,0.35,PRE,NMS,19.55,24.37,21.35,27.015924,2184730112,61.888,541.7126,35.077393,0.06475277,487.83035,88.959625,0.18235771,1459174768640,23.668034,9.3199005,15,0,America/New_York,EDT,-14400000,False,False,False,602.95,279.4,1.8 - Buy,"Meta Platforms, Inc.",Meta Platforms,META,"Facebook, Inc.",2024-10-16,2022-06-09
en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,9.558974,-4.500277114489373,True,322151400000,2,,,,,5798.69,1729108996,699413.0,699203.0,693924.7 - 699203.0,693924.7,1180,693614.0,0.0,699999.0,10,11,us_market,finmb_255251,NYSE,Berkshire Hathaway Inc.,USD,697415.0,1719,1490,197413.0,0.393253,0.83601,USD,502000.0 - 741971.0,-42558.0,-0.057358038,34.53865,,1722691800.0,1730730600.0,1731076200.0,,,True,0.0,14.705884,,0.0,,PRE,NYQ,47560.08,29573.4,30007.5,23.30794,553234,418677.56,679989.2,19423.812,0.028564885,628177.0,71236.0,0.11340116,1004070305792,23.65007,1.670529,15,0,America/New_York,EDT,-14400000,False,False,False,741971.0,502000.0,2.7 - Hold,Berkshire Hathaway Inc.,Berkshire Hathaway,BRK-A,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,9.558974,-4.511561154779664,True,831648600000,2,0.85998535,0.18466906,1729162769.0,466.55,3.01001,1729108825,465.69,466.0,462.24 - 466.0,462.24,3107805,462.68,466.0,0.0,9,9,us_market,finmb_255251,NYSE,Berkshire Hathaway Inc.,USD,463.25,3781504,2863250,135.11002,0.40870598,0.65056,USD,330.58 - 484.82,-19.130005,-0.039457954,36.620796,,1722691800.0,1730730600.0,1731076200.0,,,True,0.0,14.7044525,,0.0,,PRE,NYQ,31.67,20.23,20.09,23.18019,1325190016,418677.56,453.2576,12.432404,0.027429001,417.11334,48.57666,0.11645914,1004069584896,23.019773,0.001112288,15,0,America/New_York,EDT,-14400000,False,False,False,484.82,330.58,2.2 - Buy,Berkshire Hathaway Inc. New,,BRK-B,,,
